Location,Sovereign state with capital,Flag
https://upload.wikimedia.org/wikipedia/commons/2/2e/Malawi_on_the_globe_%28Zambia_centered%29.svg,Malawi (capital : Lilongwe),https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg
https://upload.wikimedia.org/wikipedia/commons/a/a9/Location_Malaysia_ASEAN.svg,Malaysia (capital : Kuala Lumpur),https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg
https://upload.wikimedia.org/wikipedia/commons/4/4b/Maldives_%28orthographic_projection%29.svg,Maldives (capital : Malé),https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg
https://upload.wikimedia.org/wikipedia/commons/8/8b/Mali_%28orthographic_projection%29.svg,Mali (capital : Bamako),https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg
https://upload.wikimedia.org/wikipedia/commons/6/63/EU-Malta.svg,Malta (capital : Valletta),https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg
https://upload.wikimedia.org/wikipedia/commons/1/18/Marshall_Islands_on_the_globe_%28small_islands_magnified%29_%28Polynesia_centered%29.svg,Marshall Islands (capital : Majuro),https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg
https://upload.wikimedia.org/wikipedia/commons/4/4a/Location_Mauritania_AU_Africa.svg,Mauritania (capital : Nouakchott),https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg
https://upload.wikimedia.org/wikipedia/commons/5/59/Mauritius_%28%2Bclaim_islands%29.svg,Mauritius (capital : Port Louis),https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg
https://upload.wikimedia.org/wikipedia/commons/0/06/MEX_orthographic.svg,Mexico (capital : Mexico City),https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg
https://upload.wikimedia.org/wikipedia/commons/c/c6/Micronesia_on_the_globe_%28small_islands_magnified%29_%28Polynesia_centered%29.svg,Federated States of Micronesia (capital : Palikir),https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg
https://upload.wikimedia.org/wikipedia/commons/f/fe/Location_Moldova_Europe.png,Moldova (capital : Chisinau),https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg
https://upload.wikimedia.org/wikipedia/commons/f/f5/Location_Monaco_Europe.png,Monaco (capital : Monaco),https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg
https://upload.wikimedia.org/wikipedia/commons/f/f3/Mongolia_%28orthographic_projection%29.svg,Mongolia (capital : Ulaanbaatar),https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg
https://upload.wikimedia.org/wikipedia/commons/b/b0/Europe-Montenegro.svg,Montenegro (capital : Podgorica),https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg
https://upload.wikimedia.org/wikipedia/commons/7/78/Morocco_%28orthographic_projection%2C_WS_claimed%29.svg,Morocco (capital : Rabat),https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg
https://upload.wikimedia.org/wikipedia/commons/3/32/Location_Mozambique_AU_Africa.svg,Mozambique (capital :  Maputo),https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg
https://upload.wikimedia.org/wikipedia/commons/b/b8/Location_Burma_%28Myanmar%29_ASEAN.svg,Myanmar (capital : Naypyidaw (Nay Pyi Taw)),https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg
https://upload.wikimedia.org/wikipedia/commons/6/67/Location_Namibia_AU_Africa.svg,Namibia (capital : Windhoek),https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg
https://upload.wikimedia.org/wikipedia/commons/2/25/Nauru_on_the_globe_%28Polynesia_centered%29.svg,Nauru (capital : Yaren),https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg
https://upload.wikimedia.org/wikipedia/commons/d/d4/Nepal_%28orthographic_projection%29.svg,Nepal (capital : Kathmandu),https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg
https://upload.wikimedia.org/wikipedia/commons/4/41/Kingdom_of_the_Netherlands_%28orthographic_projection%29.svg,Netherlands (capital : Amsterdam),https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg
https://upload.wikimedia.org/wikipedia/commons/2/29/NZL_orthographic_NaturalEarth.svg,New Zealand (capital : Wellington),https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
https://upload.wikimedia.org/wikipedia/commons/3/34/NIC_orthographic.svg,Nicaragua (capital : Managua),https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg
https://upload.wikimedia.org/wikipedia/commons/8/88/Niger_%28orthographic_projection%29.svg,Niger (capital : Niamey),https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg
https://upload.wikimedia.org/wikipedia/commons/4/4e/Nigeria_%28orthographic_projection%29.svg,Nigeria (capital : Abuja),https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg
https://upload.wikimedia.org/wikipedia/commons/c/cb/Europe-Norway_%28orthographic_projection%29.svg,Norway (capital : Oslo),https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg
https://upload.wikimedia.org/wikipedia/commons/f/fb/Oman_on_the_globe_%28Afro-Eurasia_centered%29.svg,Oman (capital : Muscat),https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg
https://upload.wikimedia.org/wikipedia/commons/b/b6/Pakistan_%28orthographic_projection%29.svg,Pakistan (capital : Islamabad),https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg
https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Palau_on_the_globe_%28Southeast_Asia_centered%29_%28small_islands_magnified%29.svg/800px-Palau_on_the_globe_%28Southeast_Asia_centered%29_%28small_islands_magnified%29.svg.png,Palau (capital : Ngerulmud),https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg
